Utterance,Intent
Tài liệu khoa gửi đến văn phòng đào tạo sau đại học gồm những gì ,policy
Sau bao nhiêu ngày thì nghiên cứu sinh gửi hồ sơ cho phòng đào tạo sau đại học hồ sơ dành cho việc phản biện độc lập ,policy
Thời gian để nghiên cứu sinh gửi hồ sơ cho phòng đào tạo sau đại học hồ sơ dành cho việc phản biện độc lập ,policy
Bao lâu thì nghiên cứu sinh gửi hồ sơ cho phòng đào tạo sau đại học hồ sơ dành cho việc phản biện độc lập ,policy
Hồ sơ để nghiên cứu sinh gửi hồ sơ cho phòng đào tạo sau đại học hồ sơ dành cho việc phản biện độc lập gồm những gì ,policy
Tôi muốn biết  nghiên cứu sinh gửi hồ sơ cho phòng đào tạo sau đại học hồ sơ dành cho việc phản biện độc lập gồm những gì ,policy
Thông tin về hồ sơ nghiên cứu sinh gửi hồ sơ cho phòng đào tạo sau đại học hồ sơ dành cho việc phản biện độc lập là gì ,policy
Nếu quyết nghị của Hội đồng đánh giá luận án cấp Khoa kết luận không tán thành cho nghiên cứu sinh bảo vệ luận án cấp Trường thì như thế nào,policy
Điều gì xảy ra nếu quyết nghị của Hội đồng đánh giá luận án cấp Khoa kết luận không tán thành cho nghiên cứu sinh bảo vệ luận án cấp Trường,policy
Thời gian để nghiên cứu sinh bảo vệ luận án tiến sĩ lần thứ nhất là bao lâu ,policy
Trong bao lâu thì nghiên cứu sinh có thể bảo vệ lại luận án tiến sĩ lần thứ nhất,policy
Nghiên cứu sinh có bao nhiêu lần để bảo vệ lại luận án tiến sĩ,policy
Số lần bảo vệ lại luận án tiến sĩ của nghiên cứu sinh là bao nhiêu,policy
Khi nào nghiên cứu sinh biết được danh sách phản biện độc lập ,policy
Danh sách phản biện độc lập được chọn như thế nào ,policy
Danh sách phản biện độc lập do ai quản lí,policy
Danh sách phản biện độc lập có đổi được hay không,policy
Ai là người để xuất để chọn 2 phản biện độc lập ,policy
Ai không được tìm hiểu về phản biện độc lập ,policy
Trách nhiệm của phản biện độc lập phải như thế nào ,policy
Phản biện độc lập không được làm gì ,policy
Ngay sau khi có quyết định thành lập hội đồng đánh giá của trường thì phải như thế nào ,policy
Xử lí kết quả phản biện độc lập luận án như thế nào ,policy
Tôi muốn biết về xử lí kết quả phản biện độc lập luận án ,policy
Thông tin về xử lí kết quả phản biện độc lập luận án ,policy
Nếu 1 trong 2 phản biện độc lập luận án không tán thành thì như thế nào ,policy
Nếu cả 2 phản biện độc lập luận án không tán thành thì như  thế nào ,policy
 Nghiên cứu sinh chỉ được phép nộp lại hồ sơ đề nghị bảo vệ cấp Trường trong bao lâu,policy
Tôi muốn biết thông tin về biên bản buổi bảo vệ luận án tiến sĩ cấp khoa ,policy
Người lập biên bản buổi bảo vệ luận án tiến sĩ cấp khoa là ai ,policy
Ai là người lập biên bản buổi bảo vệ luận án tiến sĩ cấp khoa,policy
Ai được quyền viết phiếu đánh giá trong buổi bảo vệ luận án tiến sĩ,policy
Ai là người công bố Biên bản kiểm phiếu cho buổi bảo vệ luận án tiến sĩ ,policy
Người công bố Biên bản kiểm phiếu cho buổi bảo vệ luận án tiến sĩ là ai ,policy
Nếu quyết nghị của hội đồng tán thành thì sẽ như thế nào ,policy
"Danh sách giới thiệu hội đồng đánh giá luận án tiến sĩ gồm ai
",policy
Ai là người gửi tất cả hồ sơ về khoa ,policy
Người gửi hồ sơ về cho khoa khi xong buổi bảo vệ luận án tiến sĩ là ai ,policy
Ai được quyền gửi hồ sơ sau buổi bảo vệ luận án tiến sĩ về khoa ,policy
Ban hội đồng của buổi bảo vệ luận án tiến sĩ gồm ai ,policy
Tôi muốn biết ban hội đồng của buổi bảo vệ luận án tiến sĩ gồm ai ,policy
Ban hội đồng của buổi bảo vệ luận án tiến sĩ gồm những người nào ,policy
Thành phần ban hội đồng của buổi bảo vệ luận án tiến sĩ gồm ai ,policy
Nhiệm vụ của thư kí trong buổi bảo vệ luận án tiến sĩ cấp khoa là gì ,policy
Khi không còn vấn đề tranh luận trong buổi bảo vệ luận án tiến sĩ thì như thế nào ,policy
Hội đồng làm gì khi không còn vấn đề tranh luận trong buổi bảo vệ luận án tốt nghiệp,policy
Ai là người viết phiếu bảo vệ trong buổi bảo vệ luận án tiến sĩ,policy
Người phản biện độc lập luận án là ai ,policy
Ai là người được phép phản biện độc lập luận án,policy
Người phản biện độc lập luận án phải như thế nào ,policy
Yêu cầu về người phản biện độc lập luận án như thế nào,policy
Hồ sơ gửi phản biện độc lập luận án gồm ,policy
Hồ sơ gửi phản biện độc lập luận án yêu cầu những gì,policy
Thông tin về hồ sơ gửi phản biện độc lập luận án ,policy
Ý kiến của phản biện độc lập có vai trò như thế nào,policy
Người nào được phản biện độc lập luận án ,policy
Luận án của nghiên cứu sinh được lấy ý kiến như thế nào,policy
Người như thế nào thì được phép pản biện độc lập luận án ,policy
Thông tin về người phản biện độc lập luận án,policy
Hồ sơ gửi phản biện độc lập luận án sẽ như thế nào ,policy
"Quy định về đào tạo trình độ tiến sĩ
",policy
"Hội đồng đánh giá luận án cấp Khoa có bao nhiêu thành viên 
",policy
Luận án được gửi đến các thành viên hội đồng trước thời gian tổ chức họp Hội đồng đánh giá bao lâu ,policy
Hội đồng gồm những ai ,policy
"Mỗi thành viên trong hội đồng đảm nhiệm bao nhiêu trách nhiệm

",policy
Ai không được tham gia đánh giá luận án ,policy
Bố mẹ của người tham gia có được đánh giá luận án không ,policy
Người hướng dẫn nghiên cứu sinh được gọi là gì ,policy
Hội đồng đánh giá luận án cấp khoa có ai ,policy
Đào tạo trình độ tiến sĩ quy định gì ,policy
Nhà khoa học tham gia cần có những gì ,policy
Ai tham gia đánh giá hội đồng cấp khoa ,policy
Người nhà có được tham gia được đánh giá luận án không ,policy
Chương 5 Quy định đào tạo tiến sĩ gồm những gì ,policy
Yêu cầu của quy định về đào tạo trình độ tiếng sĩ ,policy
Điều 23 đánh giá luận án gồm những gì ,policy
Đào tạo trình độ tiến sĩ gồm những gì ,policy
"Tôi muốn biết về quy trình đào tạo trình độ tiến sĩ 
",policy
Nhà khoa học tham gia phải như thế nào ,policy
"Trong hội đồng có ai 
",policy
"Gồm những ai trong hội đồng 
",policy
Số lượng nhà khoa học tham gia lần sao phải như thế nào ,policy
Quy định về nhà khoa học tham gia lần sau ,policy
Ai được tham gia đánh giá luận án ,policy
Nghiên cứu sinh đang bị kỉ luật từ hình thức cảnh cáo có được tham gia hay không ,policy
Tổ chức đánh giá luận án không được diễn ra khi nào ,policy
Hội đồng sẽ không tổ chức khi trường hợp nào xảy ra ,policy
Khi nào không tổ chức đánh giá luận án ,policy
Vắng mặt thư kí  hội đồng có tổ chức đánh giá hay không ,policy
Vắng mặt chủ tịch hội đồng có tổ chức đánh giá hay không ,policy
Vắng mặt phản biện ý kiến  có tổ chức đánh giá hay không ,policy
Phiên họp đánh giá luận án cấp khoa là gì ,policy
Ai có thể tham gia phiên luận đánh giá luận án cấp khoa ,policy
Mục đích việc tham gia phiên luận đánh giá luận án cấp khoa ,policy
Phiên luận đánh giá luận án cấp khoa để làm gì ,policy
Hội đồng đánh giá luận án cấp khoa có thể tổ chức bao nhiêu lần ,policy
" Luận án chỉ được Hội đồng đánh giá luận án cấp Khoa thông qua để đưa ra bảo vệ cấp Trường khi nào 
",policy
Vắng mặt 2 thành viên hội đồng trở lên có tổ chức đánh giá hay không ,policy
Vắng mặt 1 thành viên hội đồng trở lên có tổ chức đánh giá hay không ,policy
"Người ngoài có được tham gia phiên luận đánh giá luận án cấp khoa hay không 
",policy
Luận án được thông qua khi nào ,policy
Khi nào luận án được thông qua ,policy
Phiên họp đánh giá cấp khoa gồm những gì ,policy
Phiên họp đánh giá cấp khoa là gì ,policy
Những yếu tố để luận án được đưa ra bảo vệ cấp Trường ,policy
Để luận án được đưa ra bảo vệ cấp trường thì phải như thế nào ,policy
"Các thành viên hội đồng đánh giá cấp khoa phải như thế nào 
",policy
Hội đồng đánh giá cấp khoa có thể tổ chức 4 phiên được không ,policy
Trong vòng bao nhiêu ngày thì hiệu trưởng kí quyết định đánh giá luận án cấp khoa ,policy
Thời gian hiệu trường kí quyết định thành lập hội đồng đánh giá luận án cấp khoa là ,policy
Thời gian thành viên hội đồng đọc luận án là,policy
Thành viên hội đồng có bao nhiêu ngày để đọc luận án,policy
Sau khi nhận đủ 7 bản nhận xét từ thành viên hội đồng thì sẽ như thế nào ,policy
Thành phần hồ sơ chuyển cho khoa khi đánh giá luận án là gì ,policy
Hồ sơ chuyển cho khoa khi đánh giá luận án gồm những gì ,policy
Tôi muốn biết về thời gian thành viên hội đồng đọc luận án,policy
Thông tin về về thời gian thành viên hội đông đọc luận án,policy
Tôi muốn biết hồ sơ chuyển cho khoa khi đánh giá luận án gồm những gì ,policy
Thông tin về hồ sơ chuyển cho khoa khi đánh giá luận án là gì ,policy
Công tác tổ chức đào tạo trình độ tiến sĩ của phòng đào tạo sau đại học như thế nào ,policy
Nhiệm vụ của phòng đào tạo sau đại học trong công tác đào tạo trình độ tiến sĩ ,policy
Trong công tác tuyển sinh phòng đào tạo sau đại học cần thực hiện gì ,policy
Công tác tuyển sinh của phòng đào tạo sau đại học như thế nào ,policy
Các  quy định đào tạo trình độ tiến sĩ dưa trên cơ sở nào ,policy
Phòng đào tạo sau đại học xây dựng các quy định  chi tiết đào tạo trình độ tiến sĩ để trình ai phê duyệt ,policy
Các quy định chi tiết về đào tạo  mà phòng đào tạo xây dựng gồm những gì ,policy
Nhiệm vụ của phòng đào tạo trong công tác tổ chức đào tạo trình độ tiến sĩ ,policy
Thời gian triển khai công tác tuyển sinh,policy
Trách nhiệm của phòng đào tạo sau đại học cần thực hiện trước khi tuyển sinh,policy
Trước khi thực hiện công tác tuyển sinh trình độ tiến sĩ phòng đào tạo sau đại học cần làm gì ,policy
Tổ chức tuyển sinh như thế nào sau khi cơ sở chỉ tiêu đã xác định ,policy
Quy định tổ chức tuyển sinh ,policy
"Vai trò của phòng đào tạo trong công tác đào tạo trình độ tiến sĩ 
",policy
Ai là người phê duyệt các quy định về trình độ đào tạo tiến sĩ  ,policy
Nhiệm vụ của phòng đào tạo trong công tác tuyển sinh trình đô tiến sĩ,policy
Phòng đào tạo làm gì trước khi tuyển sinh đào tạo trình độ tiến sĩ ,policy
Quy định về công tác tuyển sinh đào tạo tiến sĩ ,policy
Phòng đào tạo cần thực hiện gì trong công tác tổ chức ,policy
Phòng đào tạo thay hiệu trưởng gủi hồ sơ đăng ký ngành đào tạo trình độ tiến sĩ đến cơ quan nào ,policy
Phòng đào tạo cùng các khoa thực hiện gì trong công tác đào tạo tiến sĩ ,policy
cơ sở dữ liệu về đội ngũ đào tạo sau đại học gồm những gì ,policy
Tạp chí khoa học của nghiên cứu sinh được công bố ở đâu,policy
Thông tin người hướng dẫn nghiên cứu sinh gồm những gì ,policy
Đội ngũ đào tạo sau đại học được công bố ở đâu ,policy
Thông qua đơn vị nào để có thể xây dựng danh sách các nhà khoa học của Khoa đáp ứng các tiêu chuẩn của người hướng dẫn ,policy
"Ngoài việc thông qua Hội đồng Khoa học và Đào tạo cấp Khoa để xây dựng danh sách người hướng dẫn người hướng dẫn cần thực hiện những gì  
",policy
Cái gì sẽ  được cập nhật vào cuối mỗi năm học ,policy
Hội đồng ngành có nhiệm vụ gì ,policy
Đơn vị nào có nhiệm vụ tư vấn cho Khoa lập danh sách thành viên hội đồng đánh giá tiểu luận tổng quan chuyên đề tiến sĩ và Hội đồng đánh giá luận án tiến sĩ cấp Khoa,policy
Đối với các quyên và nhiệm vụ khác thì các cá nhận và đơn vị liên quan sẽ như thế nào ,policy
Luận án của nghiên cứu sinh sẽ được đánh giá ở đâu trước ,policy
Hội đồng ngành và Khoa có vai trò gì trong quá trình bảo vệ luận án của nghiên cứu sinh ,policy
Thông qua đơn vị nào để  xây dựng danh sách các nhà khoa học  có thể đảm nhiệm vai trò phản biện độc lập và tham gia Hội đồng đánh giá luận án cấp Trường ,policy
Danh sách gồm những ai có thể đảm nhiệm vai trò phản biện độc lập và tham gia Hội đồng đánh giá luận án cấp Trường ,policy
Xây dựng danh sách các nhà khoa học trong và ngoài Trường Đại học Bách Khoa – ĐHQGHCM để làm gì,policy
Nhiệm vụ của các nhà khoa học khi tham gia dánh giá luận án cấp trường ,policy
Nhiệm vụ và quyền hạn của đơn vị trong quá trình nghiên cứu sinh thực hiện đề tài luận án ,policy
Đơn vị có trách nhiệm gì khi nghiên cứu sinh học tập và nghiên cứu ,policy
Đơn vị báo cáo Hiệu trưởng về tình hình học tập và nghiên cứu của nghiên cứu sinh khi nào ,policy
Ngoài việc trình hiệu trưởng về tình hình học tập và nghiên cứu của của nghiên cứu sinh đơn vị còn phải gửi những ai ,policy
Yêu cầu đối với luận án tiến sĩ gồm những gì ,policy
Khoản 10 Điều 10 của Quy định này và quy định của Hiệu trưởng quy định về nội dung gì ,policy
Ngôn ngữ hợp lệ của luận án là gì ,policy
Quy định khi luận án viết và trình bày bằng ngôn ngữ nước ngoài như thế nào ,policy
Luận án cần tuân thủ luật lệ gì để được công nhận hợp lệ ,policy
Luận án tiến sĩ yêu cầu những gì ,policy
Luận án được viết bằng ngôn ngữ gì ,policy
Ngôn ngữ khi viết luận án  là gì ,policy
Khi chọn ngôn ngữ nước ngoài để viết luận án cần thực hiện gì ,policy
Nội dung luận án cần tuân thủ pháp luật về bảo vệ quyền sở hữu trí tuệ như thế nào ,policy
"Các kết quả nghiên cứu của các tác giả khác nếu có trong luận án cần làm gì 
",policy
Luận án sử dụng nội dung công trình khoa học của tập thể mà nghiên cứu sinh là đồng tác giả thì để côn nhận là luận án hợp lệ cần làm gì ,policy
Cần phải có văn bản đồng ý của các đồng tác giả khác cho phép nghiên cứu sinh được sử dụng kết quả của nhóm nghiên cứu trong trường hợp nào ,policy
Viết luận án bằng ngôn ngữ gì ,policy
Ai chấp thuận thì mới được viết luận án bằng ngôn ngữ khác ,policy
Yêu cầu của luận án tiến sĩ là gì ,policy
Ngôn ngữ được dùng để viết luận án ,policy
Yêu cầu quan trọng nhất để bảo vệ quyên sở hửu trí tuệ trong quá trình viết luận án là gì ,policy
Khi sử dụng kết quả nghiên cứu của một nhóm khoa học mà mình là đồng tác giả để dùng cho luận án của cá nhân mình thì phải làm gì để công nhận hợp lệ ,policy
Loại ngôn ngữ để viết và trình bày luận án là gì ,policy
Thành phần trong tổ chức đánh giá luận án gồm những gì ,policy
 Luận án tiến sĩ được đánh giá theo quy trình như thế nào ,policy
Các bước đánh giá luận án tiến sĩ là gì ,policy
Quy trình đầu tiên của đánh giá luận án tiến sĩ là gì ,policy
Quy trình thứ hai của đánh giá luận án tiến sĩ là gì ,policy
Quy trình thứ ba của đánh giá luận án tiến sĩ là gì ,policy
Quy trình thứ nhất của đánh giá luận án tiến sĩ là gì ,policy
Quy trình tiếp theo của đánh giá luận án tiến sĩ là gì ,policy
Quy trình cuối cùng của đánh giá luận án tiến sĩ là gì ,policy
Tổ chức đánh giá luận án được phân công như thế nào ,policy
Phân công tổ chức đánh giá luận án được thực hiện như thế nào ,policy
Đơn vị  nào được phân công tổ chức đánh giá luận án cấp Khoa ,policy
Nhà trường được phân công tổ chức đánh giá luận án như thế nào ,policy
Đơn vị nào được phân công mời phản biện độc lập ,policy
Đơn vị nào được phân công ra quyết định thành lập Hội đồng đánh giá luận án cấp Trường ,policy
Đơn vị nào được phân công tổ chức đánh giá luận án cấp Trường ,policy
Thứ tự công việc trong tổ chức đánh giá luận án tiến sĩ là gì ,policy
Đơn vị nào được phân công  tổ chức đánh giá luận án cấp Khoa mời phản biện độc lập quyết định thành lập Hội đồng đánh giá luận án cấp Trường tổ chức đánh giá luận án cấp Trường ,policy
"Quy trình cuối cùng quy định cần đánh giá luận án cấp nào 
",policy
"Quy trình đầu tiên quy định cần đánh giá luận án cấp nào 
",policy
hình thức phản biện của luận án tại quy trình thứ hai là gì ,policy
hình thức phản biện của luận án tại quy trình tiếp theo là gì ,policy
Trước khi tổ chức  đánh giá luận án cấp Trường nhà trường cần phải làm gì ,policy
Quy trình để đánh giá luận án tiến sĩ ,policy
công tác đào tạo cấp bằng  chỉ tiêu và kế hoạch tuyển nghiên cứu sinh từng ngành của năm tiếp theo sẽ được báo cáo vào thời gian nào ,policy
Chế độ báo cáo và lưu trữ gồm những gì ,policy
Cơ quan nào là nơi nhận báo cáo về công tác đào tạo cấp bằng  chỉ tiêu và kế hoạch tuyển nghiên cứu sinh từng ngành của năm tiếp theo  ,policy
Vào giữa tháng 12 hằng năm báo cáo ĐHQGHCM về công tác gì ,policy
Báo cáo ĐHQGHCM danh sách trích ngang nghiên cứu sinh đã hoàn thiện hồ sơ quá trình đào tạo và luận án đã được thông qua tại Hội đồng đánh giá bảo vệ luận án cấp Trường khi nào ,policy
Quy trình báo cáo và lưu trữ được thực hiện như thế nào ,policy
Trước ngày 306 và 3112 hàng năm báo cáo ĐHQGHCM về công tác gì ,policy
 Vào ngày cuối cùng của các tháng chẵn trong năm báo cáo ĐHQGHCM cái gì ,policy
Báo cáo ĐHQGHCM về tình hình cấp bằng tiến sĩ của nhà trường khi nào ,policy
Hỗ trợ hiệu trưởng thực hiện công việc gì  với cơ quan có thẩm quyền ,policy
Công tác báo cáo và lưu trữ tài liệu hồ sơ của nghiên cứu sinh ,policy
Đăng ký kiểm định chất lượng đào tạo với đơn vị nào ,policy
Đơn vị nào chịu trách nhiệm kiểm định chất lượng đào tạo ,policy
Hồ sơ báo cáo tình hình cấp bằng tiến sĩ gồm những gì ,policy
Các tài liệu hồ sơ liên quan đến tuyển sinh đào tạo xét tốt nghiệp và cấp bằng tiến sĩ  sẽ được xử lý như thế nào ,policy
Thời gian báo cáo ĐHQGHCM về công tác đào tạocấp bằng chỉ tiêu và kế hoạch tuyển nghiên cứu sinh từng ngành của năm tiếp theo là khi nào ,policy
Thời gian báo cáo ĐHQGHCM danh sách t nghiên cứu sinh đã hoàn thiện hồ sơ quá trình đào tạo và luận án đã được thông qua tại Hội đồng đánh giá bảo vệ luận án cấp Trường trong 02 tháng trước đó là khi nào ,policy
Thời gian báo cáo ĐHQGHCM về tình hình cấp bằng tiến sĩ của nhà trường là khi nào ,policy
Thành phần của hồ sơ báo cáo cần có gì ,policy
Công tác xây dựng chế độ báo cáo và lưu trữ có gì ,policy
kiểm định chất lượng đào tạo thuộc trách nhiệm của đơn vị nào ,policy
Các tài liệu và hồ sơ nào của nghiên cứu sinh được bảo quản và lưu trữ tại Phòng Đào tạo Sau đại học ,policy
Thời hạn của  tình hình cấp bằng tiến sĩ của nhà trường được thu thập để báo cáo là bao lâu 1 lần ,policy
 Báo cáo tổng quan tình hình cấp bằng tiến sĩ của nhà trường trong thời gian bao lâu 1 lần ,policy
Điều quan trọng khi viết luận án tiến sĩ ,policy
Viết luận án tiến sĩ cần lưu ý gì ,policy
Yêu cầu khi viết luận án tiến sĩ ,policy
Điều số mấy quy định nội dung cần tuân thủ khi viết luận án tiến sĩ ,policy
Trình bày theo thông lệ quốc tế thành phần nào của luận án tiến sĩ ,policy
Thành phần nào của luận án cần phải trình bày theo thông lệ quốc tế ,policy
Cần lưu ý gì khi viết luận án tiến sĩ ,policy
"Sau khi đã đáp ứng các quy định và có quyết định thành lập hội đồng danh sách phản biện được in ở đâu  
",policy
Điều số mấy đề cập về nhiệm vụ và quyền của Hội đồng ngành và khoa trong việc đào tạo trình độ tiến sĩ ,policy
"Hội đồng ngành và khoa có nhiệm vụ  gì trong việc đồng hành với các nghiên cứu của nghiên cứu sinh
",policy
Đơn vị nào được thành lập để xét tuyển nghiên cứu sinh theo học trình độ tiến sĩ ,policy
Trong quy định về trình độ đào tạo tiến sĩ nhiệm vụ và quyền hạn sẽ thuộc về cá nhân hoặc đơn vị liên quan nào ,policy
Cá nhân hoặc đơn vị nào có nhiệm vụ và quyền hạn về việc đào tạo trình độ tiến sĩ ,policy
Dựa trên cơ sở nào bộ môn đào tạo khoa ra quyết định tiếp tục hoặc ngừng học tập đối với từng nghên cứu sinh ,policy
Thời hạn cập nhật  thay đổi tạp chí khoa học chuyên ngành của nghiên cứu sinh là bao lâu,policy
"Hội đồng ngành và khoa có trách nhiệm gì trong việc đào tạo học viên ở trình độ tiến sĩ
",policy
Quyền hạn của Hội đồng ngành và khoa trong việc đào tạo học viên ở trình độ tiến sĩ,policy
Đơn vị nào sẽ thay nghiên cứu sinh trình hiệu trưởng trình quyết định và công bố công khai cho nghiên cứu sinh thực hiện,policy
Dựa trên cơ sở đánh giá của đơn vị nào mà khoa có thể đề nghị với hiệu  trưởng quyết định việc tiếp tục hoặc ngừng học tập đối với từng nghiên cứu sinh ,policy
"Dựa trên cơ sở báo cáo đánh giá của Bộ môn đào tạo Khoa xem xét khả năng và triển vọng của nghiên cứu sinh và đề nghị hiệu trưởng đưa qua quyết định gì đối với từng nghiên cứu sinh 
 ",policy
 Căn cứ trên  tài liệu gì mà Phòng Đào tạo Sau đại học phối hợp với Phòng Khoa học Công nghệ và Dự án trình Hiệu trưởng quyết định và công bố công khai cho nghiên cứu sinh thực hiện,policy
Công tác quản lý của phòng đào tạo sau đại học ,policy
Phòng đào tạo thực hiện gì để hỗ trợ nghiên cứu sinh trong quá trình đào tạo ,policy
Trang thông tin điện tử được phòng đào tạo sau đại học thực hiện nội dung gì ,policy
Phòng đào tạo quản lý nghiên cứu sinh như thế nào ,policy
Trang thông tìn của phòng đào tạo sau đại học hiển thị nội dung gì ,policy
Phòng đào tạo hỗ trợ nghiên cứu sình những gì trong quá trình học ,policy
Công tác quản lý  nghiên cứu sinh trong quá trình học tập ,policy
Luận án trên trang thông tin của phòng đào tạo sau đại học được viết bằng ngôn ngữ gì ,policy
"Nếu cần thiết tạo lập hoặc chỉnh sửa thì trang thông tin của phòng đào tạo sau đại học sẽ thực hiện gì 
",policy
Luận án có ngôn ngữ hợp lệ là gì ,policy
Thành phần của luận án được đăng tải trên trang thông tin gồm những gì ,policy
Ngôn ngữ hợp lệ của luận án ,policy
Quy định trong công tác quản lý của phòng đào tạo sau đại học ,policy
Nhiệm vụ của phòng đào tạo trong quá trình học của nghiên cứu sinh ,policy
Luận án được đăng tải trên trang thông tin gồm những gì ,policy
Quyền lợi của nghiên cứu sinh ,policy
Nghiên cứu sinh có quyền lợi gì ,policy
Bằng tiến sĩ sẽ do ai cấp ,policy
Nhiệm vụ của phòng đào tạo sau đại học khi nghiên cứu sinh bảo vệ luận án cấp Trường ,policy
Phòng đào tạo có trách nhiệm gì khi nghiên cứu sinh thực hiện bảo vệ luận án cấp Trường ,policy
Phòng đào tạo thực hiện thủ tục gì sau khi nghiên cứu sinh bảo vệ luận án thành công ,policy
Quản lý nghiên cứu sinh trong quá trình học tập được quy định như thế nào ,policy
Trong thời gian thẩm định luận án Phòng đào tạo sẽ thực hiện gì đối với các nghiên cứu sinh ,policy
Tài liệu tham khảo bao gồm những gì ,policy
Nghiên cứu sinh thực hiện trích dẫn dúng cách với nội dung gì của tài liệu ,policy
Nghiên cứu sinh thực hiện trích dẫn dúng cách với tài nguyên gì của các tài liệu ,policy
Nếu không trích dẫn đúng cách thì luận án sẽ bị gì ,policy
Nội dung quy định xử lý khi vi phạm đối với luận án tiến sĩ  ,policy
Trường hợp phát hiện vi phạm trước khi bảo vệ luận án cấp Khoa hình thức xử lý là gì ,policy
Trường hợp phát hiện vi phạm sau khi bảo vệ luận án cấp Khoa hình thức xử lý là gì ,policy
Trường hợp phát hiện vi phạm sau khi bảo vệ luận án cấp Trường hình thức xử lý là gì ,policy
Hình thức xử lý khi phát hiện vi phạm trước khi bảo vệ luận án cấp Khoa ,policy
"Hình thức xử lý khi phát hiện vi phạm sau khi bảo vệ luận án cấp Khoa 
",policy
"Hình thức xử lý khi phát hiện vi phạm trước khi bảo vệ luận án cấp Trường 
",policy
Thành phần tài liệu tham khảo ,policy
Những nội dung mà nghiên cứu sinh cần thực hiện trích dẫn dúng cách của tài liệu khác là gì,policy
Điều gì sẽ xảy ra khi không trích dẫn tài liệu đúng cách ,policy
Hướng xử lý nếu phát hiện vi phạm trước khi bảo vệ luận án cấp Khoa ,policy
Hướng giải quyết nếu phát hiện vị phạm sau khi đã bảo vệ luận án cấp trường ,policy
Yêu cầu đối với luận án tiến sĩ gồm những gì ,policy
Yêu cầu khi viết luận án tiến sĩ ,policy
Hướng xử lý nếu phát hiện vi phạm sau khi bảo vệ luận án cấp Khoa ,policy
Phần nào của luận án cần phải trình bày theo thông lệ quốc tế ,policy
 Trình bày theo thông lệ quốc tế đối với phần nào của luận án ,policy
Điều kiện để nghiên cứu sinh được đăng ký đánh giá luận án cấp Khoa là gì ,policy
Cá nhân nào đề xuất phòng Đào tạo Sau đại học tiến hành các thủ tục và trình Hiệu trưởng ra quyết định thành lập Hội đồng đánh giá luận án cấp Khoa ,policy
"Trưởng khoa  đề xuất phòng Đào tạo Sau đại học tiến hành các thủ tục và trình Hiệu trưởng ra quyết định thành lập Hội đồng đánh giá luận án cấp Khoa bằng cái gì 
",policy
Điều số mấy quy định nội dung đánh giá luận án cấp Khoa ,policy
Làm sao để nghiên cứu sinh được đăng ký đánh giá luận án cấp Khoa ,policy
Đề xuất phòng Đào tạo Sau đại học tiến hành các thủ tục và trình Hiệu trưởng ra quyết định thành lập Hội đồng đánh giá luận án cấp Khoa được thực hiện bởi ai  ,policy
Ai có thể đề xuất phòng Đào tạo Sau đại học tiến hành các thủ tục và trình Hiệu trưởng ra quyết định thành lập Hội đồng đánh giá luận án cấp Khoa ,policy
Nghiên cứu sinh cần làm gì để đang ký đánh giá luận án cấp Khoa ,policy
Số bài báo cần công bố để có thể đăng ký đánh giá luận án cấp Khoa ,policy
Các ràng buộc cần hoàn thành để đăng ký đánh giá luận án cấp Khoa  ,policy
Nghiên cứu sinh cần hoàn thành những học phần như thế nào để có thể  đăng ký đánh giá luận án cấp Khoa ,policy
Luận án của nghiên cứu sinh như thế nào để có thể đang ký đánh giá luận án ,policy
Nội dung đánh giá luận án cấp Khoa gồm những gì ,policy
Căn cứ vào đề nghị của ai để Trưởng khoa đề xuất bằng văn bản đề nghị Phòng Đào tạo Sau đại học tiến hành các thủ tục và trình Hiệu trưởng ra quyết định thành lập Hội đồng đánh giá luận án cấp Khoa ,policy
Trưởng khoa đề xuất bằng văn bản đề nghị đơn vị nào  tiến hành các thủ tục và trình Hiệu trưởng ra quyết định thành lập Hội đồng đánh giá luận án cấp Khoa ,policy
Trưởng khoa đề nghị đơn vị nào  tiến hành các thủ tục và trình Hiệu trưởng ra quyết định thành lập Hội đồng đánh giá luận án cấp Khoa,policy
Nghiên cứu sinh không bị hình thức kỷ luật gì để có thể đăng ký đánh giá luận án ,policy
Nghiên cứu sinh cần phải được bộ môn đào tạo góp ý và đánh giá ở đâu để thỏa các tiêu chí trước khi đăng ký đánh giá luận án ,policy
Để có thể đăng ký đánh giá luận án Luận án của nghiên cứu sinh cần đáp ứng những gì ,policy
Để có thể đăng ký đánh giá luận án cấp Khoa nghiên cứu sinh cần hoàn thành những học phần như thế nào ,policy
Để có thể  tiến hành các thủ tục và trình Hiệu trưởng ra quyết định thành lập Hội đồng đánh giá luận án cấp Khoa nghiên cứu sinh cần đáp ứng quy điẹnh gì ,policy
Thời hạn nộp đơn bảo vệ luận án chậm nhất là bao lâu,policy
Nghiên cứu sinh có được xem xét một số môn học hoặc kết quả nghiên cứu để xét bằng thạc sĩ hay không,policy
Có thể xem xét một số môn học hoặc kết quả nghiên cứu để xét bằng thạc sĩ hay không,policy
Khi nào mới được chuyển cơ sở đào tạo đối với nghiên cứu sinh,policy
Khi có sự cho phép của ai thì nghiên cứu sinh mới được cho phép chuyển cơ sở đào tạo,policy
Việc công nhận kết quả học tập đã tích luỹ và các học phần của nghiên cứu sinh chuyển đến do ai quyết định,policy
